experiment_id,element,center_x,center_y,size_y,color,default_size,total_events,time_spent,num_selects,num_moves,num_resizes,num_color_changes,relatedness_cottle,dominance_cottle,timeflow_angle,timeflow_length,timeflow_vector_angle
dbadf489-4741-48df-9956-881b83793eda,monday,49,328,100,black,yes,0,388,0,0,0,0,2,0,-10.181320006514436,497.8393315116836,87.46933094884497
dbadf489-4741-48df-9956-881b83793eda,tuesday,539,416,100,black,yes,0,482,0,0,0,0,0,0,89.22577983507195,148.0135128966271,99.40709984158639
dbadf489-4741-48df-9956-881b83793eda,wednesday,541,268,100,black,yes,0,2772,0,0,0,0,0,0,-164.44801462961752,440.1136216933077,106.32620553531052
dbadf489-4741-48df-9956-881b83793eda,thursday,117,386,100,black,yes,0,289,0,0,0,0,2,0,58.03014905372606,341.8493820383474,-137.52183631665642
dbadf489-4741-48df-9956-881b83793eda,friday,298,96,100,black,yes,0,333,0,0,0,0,0,0,-129.9305798673875,176.05112893702216,172.03927107888643
dbadf489-4741-48df-9956-881b83793eda,saturday,185,231,100,black,yes,0,1124,0,0,0,0,0,0,136.34472438870233,150.65523555456014,-93.72469574391017
dbadf489-4741-48df-9956-881b83793eda,sunday,76,127,100,black,yes,9,1194,1,8,0,0,0,0,-97.65065095535941,202.80532537386685,126.00462465593824
36acb0a1-4f13-474e-84c8-a3bf32094014,monday,157,196.90023040771484,36.19953918457031,yellow,no,31,8426,1,5,24,1,2,0,10.924542212540796,58.05204085287824,-174.223231512032
36acb0a1-4f13-474e-84c8-a3bf32094014,tuesday,214,185.8984375,60.203125,saddlebrown,no,81,15815,1,64,15,1,4,4,12.161578510837682,60.35451310040463,1.2370362982968857
36acb0a1-4f13-474e-84c8-a3bf32094014,wednesday,273,173.18359375,83.6328125,grey,no,39,8328,1,25,12,1,4,10,-13.067628769227888,56.46215142157126,-25.229207280065566
36acb0a1-4f13-474e-84c8-a3bf32094014,thursday,328,185.94974207878113,58.100515842437744,green,no,50,10001,0,28,21,1,4,4,-11.356341518223726,58.138259814811214,1.7112872510041655
36acb0a1-4f13-474e-84c8-a3bf32094014,friday,385,197.39776611328125,37.2044677734375,blue,no,46,8327,0,32,13,1,4,0,10.133002009511534,58.91901846513741,21.489343527735258
36acb0a1-4f13-474e-84c8-a3bf32094014,saturday,443,187.03192138671875,55.9361572265625,darkviolet,no,38,9081,0,24,13,1,4,4,20.253106536327294,60.756412971941636,10.120104526815766
36acb0a1-4f13-474e-84c8-a3bf32094014,sunday,500,166,100,red,yes,17,6726,0,16,0,1,2,12,-174.85222627542723,344.389059407017,164.89466718824548
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,monday,119,166,100,black,yes,37,19232,2,35,0,0,0,0,-2.1747441146100535,79.05694150420949,179.40291876088764
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,tuesday,198,169,100,black,yes,46,12637,0,46,0,0,0,0,-1.4320961841646465,80.02499609497022,0.7426479304453721
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,wednesday,278,171,100,black,yes,21,9727,0,21,0,0,0,0,-1.4320961841646465,80.02499609497022,-2.842170943040401e-14
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,thursday,358,173,100,black,yes,21,8797,0,21,0,0,0,0,-0.763898460929995,75.0066663703967,0.6681977232346412
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,friday,433,174,100,black,yes,25,16844,1,24,0,0,0,0,-2.2025981617658053,78.05767098754612,-1.4386997008358264
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,saturday,511,177,100,grey,yes,26,24315,2,22,0,2,0,0,-1.4320961841646465,80.02499609497022,0.7705019776011284
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,sunday,591,179,100,black,yes,14,5862,0,14,0,0,0,0,178.4223371245023,472.1789914852206,179.85443330866696
506b3775-97b4-4439-b87d-23b1ffd41f4a,monday,163,200,100,green,yes,29,19629,4,24,0,1,2,0,0.0,52.0,-180.0
506b3775-97b4-4439-b87d-23b1ffd41f4a,tuesday,215,200,100,green,yes,25,9807,2,22,0,1,4,0,0.0,52.0,0.0
506b3775-97b4-4439-b87d-23b1ffd41f4a,wednesday,267,200,100,green,yes,23,10701,1,21,0,1,4,0,0.0,52.0,0.0
506b3775-97b4-4439-b87d-23b1ffd41f4a,thursday,319,200,100,green,yes,14,10087,1,12,0,1,4,0,0.0,52.0,0.0
506b3775-97b4-4439-b87d-23b1ffd41f4a,friday,371,200,100,green,yes,19,6388,1,17,0,1,4,0,0.0,52.0,0.0
506b3775-97b4-4439-b87d-23b1ffd41f4a,saturday,423,200,100,yellow,yes,14,11624,1,12,0,1,4,0,0.0,52.0,0.0
506b3775-97b4-4439-b87d-23b1ffd41f4a,sunday,475,200,100,yellow,yes,22,24319,1,20,0,1,2,0,180.0,312.0,-180.0
4750cf0f-34af-4f39-88ec-971ac4899dd7,monday,196,249,100,black,yes,51,17309,3,48,0,0,2,0,60.54159521333485,124.03628501370073,-76.67315991398436
4750cf0f-34af-4f39-88ec-971ac4899dd7,tuesday,257,141,100,black,yes,17,7433,2,15,0,0,2,0,11.788183299107622,117.47765745025733,-48.7534119142272
4750cf0f-34af-4f39-88ec-971ac4899dd7,wednesday,372,117,100,black,yes,10,3329,1,9,0,0,0,0,-13.324531261890785,117.15374513859982,-25.1127145609984
4750cf0f-34af-4f39-88ec-971ac4899dd7,thursday,486,144,100,black,yes,16,10505,2,14,0,0,0,0,-76.48746936421398,132.67252918370102,-63.16293810232318
4750cf0f-34af-4f39-88ec-971ac4899dd7,friday,517,273,100,black,yes,9,4514,1,8,0,0,0,0,-140.96448710125313,142.90206436577463,-64.47701773703915
4750cf0f-34af-4f39-88ec-971ac4899dd7,saturday,406,363,100,black,yes,7,2718,0,7,0,0,0,0,166.89721005873756,119.10079764636339,-52.138302840009345
4750cf0f-34af-4f39-88ec-971ac4899dd7,sunday,290,336,100,black,yes,18,4477,0,18,0,0,0,0,137.21475512731922,128.08200498118384,-29.682454931418334